mmsi,imo,call_sign,width,avg_length,stddev_length,num_length_sources,avg_gross_tonnage,stddev_gross_tonnage,num_gross_tonnage_sources,dead_weight,source,flag_state
636016687,9076246,DUGQ,18,133.95,0,1,6964,0,1,6620,CLAV,Liberia
636016700,9004401,D5HI8,18,115,0,1,5136,0,1,6488,CLAV,Liberia
636016916,9015785,D5IJ6,19,120,0,1,5617,0,1,7075,FFA,Liberia
636016998,9011038,D5IV3,19,119.55,0,1,5617,0,1,7072,CLAV,Liberia
636017010,8517358,D5IW5,19,145.55,0,1,6579,0,1,7685,encounters,Liberia
636017108,9666493,D5JI4,20,134.15,0,1,6558,0,1,7303,encounters,Liberia
636017161,9071583,D5JO8,16,106.86,0,1,3802,0,1,4211,encounters,Liberia
636017162,9620384,D5JO9,17,99.06,0,1,3989,0,1,4218,encounters,Liberia
636017251,9163403,PJWZ,,117.27,,,5100,,,,ICCAT,Liberia
636017396,9459591,YJRZ2,,98.28,0,1,3858,0,1,,CCSBT,Liberia
636017468,9128764,YJQE5,,94.65,,,3496,,,,IATTC,Liberia
636090217,8909070,ELUA3,23,156,0,1,10842,0,1,12942,ITU,Liberia
636091006,9172947,A8IN9,22,150,0,1,9307,0,1,11013,ITU,Liberia
636091007,9175901,9HA3898,23,151.99,0,1,10519,0,1,12734,ITU,Liberia
636091008,9204958,9HA3797,25,167,0,1,14413,0,1,15917,ITU,Liberia
636091009,9204960,9HA3803,25,167,0,1,14413,0,1,15917,ITU,Liberia
636091012,9152181,A8IO7,22,143,0,1,8879,0,1,9609,ITU,Liberia
636091013,9143752,A8IO9,22,143,0,1,8917,0,1,9638,ITU,Liberia
636091014,9202869,A8IP2,23,151.99,0,1,10532,0,1,10309,ITU,Liberia
636091016,9167801,A8IP4,24,155,0,1,11382,0,1,12906,ITU,Liberia
636091017,9194921,A8IP5,22,143,0,1,8507,0,1,9566,ITU,Liberia
636091090,9064229,A8JH5,23,141.8,0,1,9829,0,1,10464,ITU,Liberia
636091096,9066485,A8JI3,21,134.02,0,1,7329,0,1,8039,ITU,Liberia
636091097,9061198,A8JI4,21,134.02,0,1,7329,0,1,7898,ITU,Liberia
636091098,9014444,A8JI5,19,128.25,2.598076211,2,6222.5,162.2354256,2,7387,CLAV,Liberia
636091099,9045950,A8JI6,22.8,141.8,0,1,9829,0,1,10457,ITU,Liberia
636091100,9045948,A8JI7,23,141.8,0,1,9829,0,1,10461,ITU,Liberia
636091102,9045936,A8JJ3,23,141.8,0,1,9829,0,1,10464,ITU,Liberia
636091103,9045924,A8JJ5,23,141.8,0,1,9820,0,1,10466,ITU,Liberia
636091652,8908193,3EBI9,21,140,0,1,9070,0,1,11595,CLAV,Liberia
636092399,9189885,D5BR6,24,154,0,1,11417,0,1,12473,ITU,Liberia
636092400,9189873,D5BR7,24,154,0,1,11417,0,1,10447,ITU,Liberia
636092421,9047245,A8OE4,21,134.02,0,1,7313,0,1,8044,encounters,Liberia
636092422,9045168,A8OE3,21,134.02,0,1,7303,0,1,8075,CLAV,Liberia
636092423,9047271,A8OE5,21,134.1,0,1,7326,0,1,8041,encounters,Liberia
645358000,9163403,D5JZ8,18,117,0,1,5100,0,1,5937,CLAV,Mauritius
664090000,8909680,YJQE4,,93.78,,,2600,,,,CCSBT,Vanuatu
667001392,8517346,9LU2195,19,145.55,0,1,6579,0,1,7690,encounters,Sierra Leone
667003111,,,,,,0,,,0,,CLAV,Sierra Leone
667003248,,,,152.94,0,1,12413,0,1,,CLAV,Sierra Leone
667003355,8981341,9LY2552,11,57.96,,1,975,,1,,CLAV,Sierra Leone
667007053,7812062,3EGU9,16,103.73,0,1,3835,0,1,4392,FFA,Sierra Leone
667401200,7920792,XUBP3,11,65.3,,1,1277,,1,1599,CLAV,Sierra Leone
730151013,8513869,HKJC7,16,92.23,0,1,3264,0,1,3944,encounters,Colombia
800022379,,,,,,0,,,0,,CLAV,Unknown
871295000,,,,,,0,,,0,,CLAV,Unknown
872343576,7818561,3EAY,16,107,0,1,3830,0,1,4258,CLAV,Unknown
987456321,,,,,,0,,,0,,CLAV,Unknown
