mmsi,inferred,known
33809608,Set gillnets,
33814495,Pilot,
35275000,Tanker,
35516535,Purse seines,
35517401,Sailing,
35721500,Reefer,
35872607,Seismic vessel,
36696790,Tug,
36699999,Purse seines,
36700993,Sailing,
36704740,Tug,
36706320,Tug,
36742760,Trawlers,
36751810,Sailing,
36753480,Cargo,
36759230,Cargo,
36764000,Purse seines,
36879400,Sailing,
37069100,Trawlers,
37737800,Tug,
38924000,Sailing,
40278270,Cargo,
40700479,Sailing,
41231795,Trawlers,
41232400,Tanker,
41232613,Trawlers,
41238122,Pots and traps,
41246000,Trawlers,
41260589,Set gillnets,
41262312,Set gillnets,
41300000,Reefer,
41300059,Pole and line,
41305701,Trawlers,
41313560,Tanker,
41332461,Trawlers,
41345210,Tug,
41350506,Cargo,
41358300,Seismic vessel,
41367518,Sailing,
41370000,Cargo,
41370889,Cargo,
41374900,Tanker,
41377648,Cargo,
41381000,Tanker,
41388142,Sailing,
41390059,Cargo,
41390143,Set gillnets,
41395798,Cargo,
41398125,Sailing,
41635002,Purse seines,
42324402,Trawlers,
42809995,Tug,
43384832,Cargo,
43550612,Trawlers,
43596988,Cargo,
43676060,Trawlers,
44013550,Set gillnets,
44041063,Set longlines,
44660313,Tanker,
44660952,Cargo,
44670392,Squid,
44690278,Pots and traps,
44690306,Sailing,
44700039,Cargo,
44700147,Sailing,
44700291,Cargo,
44700522,Tug,
44700886,Cargo,
44710000,Cargo,
44730106,Tug,
44740285,Sailing,
44740697,Cargo,
44780346,Sailing,
44780634,Sailing,
45636000,Pots and traps,
46135000,Trawlers,
47055300,Trawlers,
47078000,Trawlers,
47081440,Trawlers,
47098130,Tug,
47151030,Trawlers,
47185921,Tanker,
47300170,Trawlers,
49905034,Cargo,
50302100,Sailing,
50368098,Trawlers,
51332546,Trawlers,
51414000,Reefer,
52500069,Trawlers,
53300051,Tug,
53808077,Trawlers,
54354322,Tanker,
54613655,Tanker,
54970016,Tanker,
55402570,Pole and line,
55555555,Reefer,
56006200,Sailing,
56008541,Trawlers,
56300040,Tanker,
56300450,Cargo,
56477800,Tug,
56519400,Reefer,
56661100,Seismic vessel,
56690582,Pilot,
57000000,Pots and traps,
57173720,Pots and traps,
58704152,Trawlers,
60180078,Cargo,
61040278,Seismic vessel,
61648300,Sailing,
63405240,Trawlers,
63601568,Reefer,
63609091,Cargo,
63613617,Tanker,
64342000,Tanker,
64752310,Tanker,
65317000,Pilot,
65651433,Pole and line,
65743000,Trawlers,
66668888,Trawlers,
66703345,Trawlers,
67423560,Tug,
70033110,Purse seines,
70100181,Sailing,
70100726,Trawlers,
70100821,Set gillnets,
70153600,Trawlers,
70321000,Cargo,
70576091,Trawlers,
71000010,Pilot,
72500000,Trawlers,
76000201,Purse seines,
76000203,Purse seines,
76000210,Purse seines,
77992043,Purse seines,
78164497,Cargo,
80281600,Trawlers,
82635968,Purse seines,
83566592,Sailing,
87109632,Trawlers,
87854580,Tug,
87854587,Tug,
88888099,Sailing,
88888888,Cargo,
89652387,Cargo,
90028202,Set longlines,
90030138,Set gillnets,
90031310,Sailing,
90043306,Sailing,
90043702,Sailing,
90141907,Set longlines,
90143213,Sailing,
90143307,Trawlers,
90143330,Sailing,
90221105,Set longlines,
92110141,Tanker,
92337015,Sailing,
92431185,Trawlers,
92760064,Cargo,
96011069,Tanker,
98300008,Pole and line,
98300019,Pole and line,
98300025,Set longlines,
98300099,Set longlines,
98300120,Set longlines,
98300163,Set longlines,
98300180,Set longlines,
98300181,Pots and traps,
98300251,Trawlers,
99988888,Sailing,
99999028,Tug,
99999037,Tug,
99999051,Tug,
99999999,Sailing,
100000000,Purse seines,
100000001,Trawlers,
100000009,Pots and traps,
100000014,Trawlers,
100000015,Trawlers,
100000089,Reefer,
100000123,Trawlers,
100001001,Purse seines,
100001887,Trawlers,
100010001,Sailing,
100070631,Set gillnets,
100075210,Pole and line,
100197000,Pilot,
100506940,Pilot,
100600162,Cargo,
100600480,Cargo,
100654012,Trawlers,
100700052,Trawlers,
100700106,Set longlines,
100700113,Set longlines,
100700127,Set longlines,
100700144,Set longlines,
100700148,Trawlers,
100700154,Trawlers,
100700158,Trawlers,
100700197,Trawlers,
100700210,Set longlines,
100700216,Purse seines,
100700227,Trawlers,
100700231,Trawlers,
100700382,Set longlines,
100700474,Trawlers,
100700576,Pole and line,
100700597,Trawlers,
100700754,Trawlers,
100700762,Pole and line,
100700766,Purse seines,
100700767,Purse seines,
100700772,Trawlers,
100700775,Set longlines,
100700792,Squid,
100700806,Trawlers,
100700816,Tanker,
100700817,Set longlines,
100700832,Trawlers,
100700833,Purse seines,
100700834,Seismic vessel,
100700853,Trawlers,
100701138,Seismic vessel,
100701453,Set longlines,
100701559,Trawlers,
100701620,Set longlines,
100701635,Pilot,
100701701,Set longlines,
100701716,Pots and traps,
100701853,Trawlers,
100701976,Trawlers,
100701981,Trawlers,
100701983,Set longlines,
100702080,Trawlers,
100702081,Trawlers,
100702086,Trawlers,
100702089,Reefer,
100702252,Set longlines,
100702516,Set longlines,
100702530,Trawlers,
100702534,Set longlines,
100702538,Set gillnets,
100702540,Pole and line,
100702562,Set gillnets,
100702569,Trawlers,
100702574,Trawlers,
100702606,Set gillnets,
100702630,Purse seines,
100702633,Trawlers,
100702639,Set longlines,
100702640,Trawlers,
100702670,Set longlines,
100702825,Trawlers,
100702914,Pots and traps,
100703012,Trawlers,
100703087,Purse seines,
100703127,Purse seines,
100703137,Set longlines,
100703174,Trawlers,
100703187,Set longlines,
100703473,Trawlers,
100703865,Trawlers,
100704002,Set gillnets,
100704025,Set longlines,
100704340,Trawlers,
100704746,Pots and traps,
100705209,Purse seines,
100705277,Trawlers,
100705282,Pots and traps,
100705310,Pilot,
100705536,Pots and traps,
100705669,Squid,
100706185,Trawlers,
100706253,Cargo,
100706257,Set gillnets,
100706320,Trawlers,
100706558,Purse seines,
100706573,Set longlines,
100706589,Trawlers,
100710148,Tug,
100710149,Cargo,
100710150,Trawlers,
100710160,Tanker,
100710171,Set gillnets,
100710205,Tanker,
100710265,Set longlines,
100710410,Trawlers,
100710540,Pilot,
100710753,Purse seines,
100710757,Tanker,
100710852,Cargo,
100710910,Pilot,
100710931,Pilot,
100710937,Cargo,
100710939,Cargo,
100710991,Pots and traps,
100711179,Set gillnets,
100711433,Set longlines,
100711436,Set longlines,
100711626,Pole and line,
100711862,Cargo,
100711968,Trawlers,
100712130,Trawlers,
100712239,Cargo,
100712280,Trawlers,
100712290,Set longlines,
100712298,Trawlers,
100712595,Set gillnets,
100712661,Cargo,
100800276,Set longlines,
100800973,Set gillnets,
100869562,Pilot,
100870042,Set longlines,
100870047,Purse seines,
100870050,Pilot,
100870555,Pilot,
100872120,Set longlines,
100873348,Set longlines,
100873407,Pilot,
100873420,Set gillnets,
100874066,Set longlines,
100874082,Set longlines,
100900000,Purse seines,
100900001,Cargo,
100900019,Pots and traps,
100900088,Pilot,
100901061,Purse seines,
100901152,Pole and line,
100901241,Set longlines,
100901452,Pilot,
100901466,Pots and traps,
100902021,Pots and traps,
100902222,Trawlers,
100903037,Tanker,
100903096,Trawlers,
100903105,Set longlines,
100903109,Trawlers,
100903114,Trawlers,
100903117,Trawlers,
100909011,Pilot,
100912345,Purse seines,
100912346,Pots and traps,
100920003,Cargo,
101000002,Trawlers,
101000859,Trawlers,
101010000,Reefer,
101010101,Cargo,
101306113,Pots and traps,
101306353,Trawlers,
101306904,Trawlers,
101700506,Sailing,
102589740,Trawlers,
105138479,Cargo,
107374182,Purse seines,
107502700,Sailing,
108856416,Cargo,
109044476,Cargo,
109046476,Cargo,
109046479,Cargo,
109048476,Cargo,
109050476,Cargo,
109054476,Tug,
109058476,Cargo,
109667231,Pilot,
109668375,Trawlers,
109668655,Set longlines,
109865198,Trawlers,
110000000,Cargo,
110021203,Set longlines,
110021210,Sailing,
110022000,Squid,
110030086,Trawlers,
110030587,Cargo,
110040132,Tanker,
110040299,Trawlers,
110042881,Cargo,
110051420,Set gillnets,
110200290,Trawlers,
110300040,Purse seines,
110300041,Set longlines,
110300192,Squid,
110300479,Trawlers,
110300488,Trawlers,
110300593,Trawlers,
110329002,Reefer,
110600000,Cargo,
110600400,Cargo,
110602794,Cargo,
110700014,Set longlines,
110700077,Set longlines,
110700522,Trawlers,
110700591,Set longlines,
110700635,Trawlers,
110700645,Set gillnets,
110700678,Trawlers,
110700873,Set gillnets,
110700881,Set gillnets,
110700906,Set longlines,
110700917,Set longlines,
110700977,Trawlers,
110701124,Set gillnets,
110701152,Set longlines,
110701234,Trawlers,
110701270,Trawlers,
110702546,Set longlines,
110702571,Set longlines,
