mmsi,Gear_Main_Code,Gear_Sec_Code
224227000,LLS,NO
224011150,OTB,NO
224099450,LLD,NO
224775000,OTB,PTB
224075930,OTB,NO
224094760,GNS,GTR
224098390,OTB,NO
224098640,LLD,NO
224871000,PTB,NO
224463000,OTB,PTB
224038000,LLS,GNS
224905000,PTB,NO
224031990,OTB,NO
224220670,PS,NO
224421000,OTB,PTB
224066590,GNS,GTR
224102740,LLD,NO
224536000,OTB,PTB
224295000,LLD,NO
224021860,OTB,NO
224020220,OTB,NO
224544160,LLD,NO
224021340,PS,NO
224080990,OTB,NO
224023480,PS,NO
224888000,OTB,PTB
224103490,OTB,NO
224012690,LLS,NO
224044370,OTB,NO
224095230,OTB,NO
224306000,LLD,NO
224004950,OTB,PTB
224065280,PS,NO
224531000,PS,NO
224261000,LLD,NO
224004000,OTB,PTB
224003530,PS,NO
224059790,GNS,GTR
224095390,OTB,NO
224123490,OTB,NO
224095770,OTB,NO
224701000,OTB,PTB
224086740,PS,NO
224174930,PS,NO
224274380,LLS,FPO
224042780,PS,NO
224068340,OTB,PTB
224075480,OTB,NO
224559000,OTB,PTB
224068980,LLD,NO
224051350,LLD,NO
224081690,LLD,NO
224556000,LLD,NO
224131270,GNS,GTR
224070150,OTB,NO
224046790,GNS,NO
224014460,OTB,NO
224044350,OTB,NO
224093550,GNS,NO
224011110,PS,NO
224067130,LLS,NO
224138660,PS,NO
224136880,LLD,NO
224007840,OTB,NO
224049860,LLD,NO
224143980,OTB,NO
224096290,OTB,NO
224094520,LLD,NO
224004420,PS,NO
224314570,LLS,NO
224250000,LLD,NO
224011260,LLS,GNS
224076530,OTB,NO
224322690,OTB,NO
224042970,LLS,NO
224133000,OTB,PTB
224020840,PS,NO
224078780,OTB,NO
224253000,LLD,NO
224571000,OTB,PTB
224129890,OTB,NO
224111960,OTB,NO
224022330,PS,NO
224051330,OTB,NO
224016620,PS,NO
224721000,LLD,NO
224048880,PS,NO
224085560,PS,NO
224070140,OTB,NO
224103970,LLS,GNS
